U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.653,4.14,3.599,3.068,2.564,1.995,1.568,1.103,0.59,0.144,4.577,3.988,3.514,3.039,2.527,1.938,1.511,1.036,0.467,0.039,4.501,4.036,3.523,2.982,2.498,1.985,1.454,1.008,0.476,0.058
4.624,4.102,3.628,3.068,2.536,2.042,1.549,1.112,0.58,0.106,4.605,3.941,3.533,3.011,2.489,1.947,1.482,0.96,0.495,0.049,4.501,4.055,3.533,2.992,2.498,1.976,1.444,0.989,0.486,0.02
4.634,4.131,3.58,3.077,2.574,2.042,1.577,1.112,0.571,0.144,4.558,3.931,3.533,3.03,2.479,2.042,1.473,1.027,0.486,0.039,4.492,4.036,3.514,3.001,2.508,1.985,1.501,1.036,0.476,0.049
4.653,4.112,3.618,3.058,2.555,2.033,1.568,1.103,0.609,0.106,4.53,3.988,3.523,3.001,2.479,1.985,1.492,0.979,0.467,0.077,4.511,4.074,3.523,2.992,2.479,1.947,1.501,1.008,0.476,0.049
4.634,4.131,3.59,3.058,2.574,2.033,1.558,1.122,0.552,0.096,4.577,3.969,3.533,3.049,2.489,1.966,1.492,0.979,0.467,0.049,4.511,4.026,3.504,3.011,2.508,1.995,1.501,0.989,0.467,0.058
4.634,4.112,3.59,3.068,2.564,2.052,1.558,1.074,0.609,0.115,4.568,3.979,3.514,3.02,2.498,1.976,1.53,0.96,0.505,0.115,4.511,4.036,3.514,2.992,2.479,1.985,1.482,0.998,0.467,0.077
4.634,4.15,3.599,3.077,2.555,2.052,1.53,1.112,0.58,0.106,4.568,3.941,3.552,3.058,2.489,1.985,1.463,1.017,0.495,0.03,4.511,4.036,3.495,2.982,2.498,1.976,1.482,0.979,0.467,0.058
4.615,4.159,3.618,3.077,2.564,2.061,1.549,1.084,0.637,0.134,4.549,3.941,3.533,2.992,2.47,1.89,1.492,1.065,0.457,0.077,4.511,4.055,3.504,3.001,2.536,1.995,1.501,1.008,0.486,0.087
4.615,4.15,3.618,3.096,2.564,2.014,1.587,1.112,0.59,0.134,4.52,3.96,3.542,3.049,2.498,1.985,1.482,0.989,0.476,0.058,4.52,4.026,3.504,2.992,2.498,1.976,1.501,1.017,0.495,0.058
4.624,4.15,3.618,3.058,2.583,2.023,1.596,1.112,0.561,0.125,4.586,3.96,3.523,3.001,2.489,2.004,1.482,1.084,0.476,0.049,4.52,4.036,3.504,2.992,2.498,1.985,1.482,1.008,0.476,0.096
