U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U0U2_v1,U0U2_v2,U0U2_v3,U0U2_v4,U0U2_v5,U0U2_v6,U0U2_v7,U0U2_v8,U0U2_v9,U0U2_v10,U0U3_v1,U0U3_v2,U0U3_v3,U0U3_v4,U0U3_v5,U0U3_v6,U0U3_v7,U0U3_v8,U0U3_v9,U0U3_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U1U3_v1,U1U3_v2,U1U3_v3,U1U3_v4,U1U3_v5,U1U3_v6,U1U3_v7,U1U3_v8,U1U3_v9,U1U3_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.643,4.197,3.628,3.058,2.631,2.109,1.577,1.103,0.599,0.134,4.586,4.14,3.637,3.087,2.574,2.033,1.606,1.103,0.666,0.058,4.605,4.131,3.609,3.049,2.564,2.052,1.568,1.065,0.514,0.077,4.605,4.112,3.609,3.115,2.536,2.014,1.558,1.008,0.609,0.172,4.624,4.159,3.618,3.096,2.555,2.052,1.53,1.046,0.599,0.106,4.653,4.121,3.628,3.077,2.574,2.042,1.587,1.103,0.571,0.134
4.662,4.169,3.618,3.087,2.659,2.118,1.625,1.084,0.609,0.153,4.615,4.131,3.599,3.058,2.593,2.052,1.549,1.084,0.609,0.106,4.615,4.131,3.59,3.058,2.564,2.033,1.558,1.036,0.571,0.096,4.605,4.093,3.618,3.115,2.498,2.071,1.511,0.998,0.599,0.077,4.624,4.159,3.628,3.096,2.583,2.052,1.577,1.027,0.542,0.134,4.662,4.14,3.618,3.068,2.574,2.042,1.596,1.074,0.609,0.22
4.662,4.178,3.647,3.106,2.602,2.09,1.634,1.122,0.609,0.182,4.549,4.15,3.618,3.068,2.555,2.071,1.587,1.046,0.675,0.106,4.605,4.121,3.618,3.077,2.574,2.061,1.53,1.017,0.542,0.115,4.643,4.093,3.628,3.106,2.555,2.052,1.501,1.074,0.656,0.134,4.653,4.15,3.618,3.096,2.555,2.023,1.568,1.074,0.561,0.106,4.643,4.159,3.618,3.087,2.564,2.061,1.568,1.055,0.571,0.172
4.662,4.188,3.637,3.115,2.659,2.099,1.606,1.046,0.609,0.144,4.605,4.14,3.59,3.087,2.583,1.985,1.615,1.036,0.571,0.106,4.624,4.121,3.59,3.068,2.593,2.023,1.577,1.027,0.571,0.115,4.624,4.074,3.609,3.087,2.564,2.052,1.482,1.046,0.599,0.134,4.615,4.15,3.609,3.115,2.555,2.052,1.587,1.027,0.609,0.106,4.643,4.15,3.628,3.068,2.593,2.023,1.568,1.046,0.58,0.172
4.653,4.197,3.656,3.096,2.64,2.109,1.596,1.122,0.618,0.144,4.615,4.15,3.609,3.106,2.593,2.061,1.644,1.103,0.628,0.087,4.653,4.131,3.637,3.068,2.602,2.033,1.549,1.017,0.552,0.096,4.605,4.112,3.599,3.077,2.517,2.033,1.558,1.074,0.599,0.144,4.624,4.15,3.609,3.096,2.536,2.033,1.549,1.036,0.628,0.153,4.643,4.121,3.647,3.077,2.583,2.061,1.568,1.084,0.571,0.134
4.672,4.216,3.609,3.058,2.631,2.099,1.596,1.065,0.618,0.163,4.596,4.159,3.552,3.068,2.574,2.004,1.615,1.074,0.618,0.087,4.643,4.121,3.609,3.068,2.555,2.004,1.539,1.017,0.552,0.125,4.643,4.102,3.599,3.068,2.508,2.061,1.52,1.017,0.609,0.096,4.624,4.169,3.609,3.077,2.564,2.052,1.587,1.055,0.523,0.106,4.691,4.159,3.628,3.058,2.564,2.071,1.577,1.055,0.571,0.182
4.662,4.178,3.628,3.077,2.621,2.09,1.558,1.084,0.609,0.134,4.549,4.15,3.609,3.106,2.564,2.08,1.577,1.093,0.628,0.163,4.624,4.102,3.609,3.058,2.564,2.042,1.577,1.046,0.533,0.163,4.577,4.093,3.628,3.096,2.536,2.042,1.52,1.027,0.599,0.115,4.605,4.169,3.618,3.058,2.517,2.052,1.549,1.065,0.561,0.106,4.653,4.131,3.628,3.068,2.574,2.042,1.577,1.084,0.571,0.172
4.681,4.207,3.647,3.125,2.688,2.099,1.577,1.112,0.599,0.172,4.605,4.14,3.637,3.077,2.574,2.014,1.625,1.093,0.609,0.144,4.643,4.112,3.59,3.049,2.602,2.042,1.53,1.046,0.552,0.087,4.586,4.102,3.609,3.106,2.517,2.052,1.52,1.065,0.58,0.153,4.558,4.15,3.637,3.068,2.527,2.052,1.52,1.017,0.561,0.115,4.634,4.15,3.618,3.087,2.583,2.052,1.568,1.055,0.561,0.239
4.672,4.169,3.628,3.058,2.65,2.099,1.606,1.074,0.58,0.106,4.662,4.15,3.628,3.106,2.564,2.071,1.549,1.036,0.656,0.125,4.653,4.15,3.599,3.077,2.555,2.014,1.558,1.027,0.523,0.134,4.596,4.102,3.571,3.068,2.555,2.071,1.501,1.027,0.609,0.125,4.605,4.15,3.647,3.087,2.564,2.061,1.596,1.046,0.552,0.153,4.643,4.15,3.656,3.058,2.602,2.042,1.596,1.093,0.571,0.182
4.672,4.188,3.609,3.077,2.688,2.09,1.596,1.122,0.628,0.163,4.605,4.131,3.599,3.077,2.583,2.042,1.606,1.046,0.523,0.087,4.605,4.121,3.628,3.068,2.564,2.023,1.53,1.036,0.533,0.144,4.624,4.102,3.618,3.096,2.546,2.08,1.511,1.036,0.523,0.115,4.662,4.169,3.609,3.096,2.555,2.042,1.577,1.046,0.542,0.153,4.643,4.131,3.637,3.106,2.583,2.061,1.558,1.055,0.561,0.144
