U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.748,4.026,3.742,3.03,2.593,2.232,1.72,1.264,0.647,0.182,4.624,3.931,3.495,2.935,2.479,2.128,1.615,1.046,0.542,0.096,4.463,3.903,3.533,2.992,2.46,2.09,1.549,1.103,0.542,0.144
4.719,4.017,3.732,2.992,2.64,2.318,1.701,1.311,0.675,0.21,4.634,4.444,3.533,3.001,2.375,2.156,1.596,1.046,0.58,0.068,4.416,3.912,3.476,2.963,2.47,2.014,1.549,1.093,0.542,0.144
4.7,3.95,3.713,3.068,2.593,2.289,1.729,1.245,0.685,0.22,4.586,4.729,3.552,2.992,2.413,2.147,1.615,1.046,0.561,0.049,4.425,3.96,3.523,2.982,2.46,2.042,1.568,1.084,0.552,0.144
4.738,3.969,3.761,3.03,2.612,2.289,1.701,1.254,0.685,0.229,4.634,4.501,3.533,2.954,2.432,2.166,1.625,1.055,0.552,0.087,4.454,3.95,3.504,2.935,2.46,2.08,1.549,1.122,0.533,0.125
4.672,3.96,3.751,3.077,2.583,2.27,1.691,1.245,0.685,0.239,4.615,4.454,3.504,2.954,2.375,2.137,1.596,1.046,0.552,0.077,4.397,3.903,3.485,2.935,2.479,2.147,1.577,1.074,0.552,0.115
4.691,4.007,3.713,3.02,2.583,2.289,1.71,1.283,0.675,0.22,4.624,4.7,3.542,2.935,2.479,2.156,1.606,1.055,0.542,0.087,4.463,3.903,3.457,2.992,2.46,2.033,1.549,1.112,0.552,0.134
4.738,3.96,3.723,3.115,2.574,2.289,1.72,1.245,0.685,0.182,4.624,4.805,3.552,2.992,2.47,2.166,1.606,1.008,0.571,0.077,4.444,3.865,3.476,2.916,2.47,2.09,1.53,1.122,0.523,0.144
4.7,3.941,3.742,3.068,2.631,2.299,1.71,1.245,0.656,0.191,4.605,4.814,3.542,2.982,2.413,2.166,1.558,1.036,0.571,0.058,4.425,3.894,3.485,2.954,2.46,2.08,1.549,1.103,0.561,0.134
4.691,4.083,3.761,3.02,2.602,2.251,1.72,1.264,0.685,0.21,4.624,4.824,3.561,2.954,2.403,2.156,1.625,1.008,0.58,0.049,4.444,3.903,3.457,2.925,2.489,2.033,1.587,1.141,0.533,0.125
4.691,4.045,3.723,3.03,2.546,2.299,1.691,1.245,0.666,0.191,4.653,4.862,3.523,3.011,2.403,2.137,1.596,1.046,0.533,0.106,4.454,3.818,3.476,2.954,2.489,2.099,1.558,1.084,0.533,0.125
